Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,Serial ID,Internal ID,Unique Entry ID
chic tulip crown,,2,purple tulips,2,pink tulips,1,orange tulips,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5103,green,CapOrnamentTulip2,8210,244,AWo72X4YM3PnWSL2P
chic windflower wreath,,10,purple windflowers,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5765,green,FtrDoorOrnamentWreathAnemoneRare,7842,440,2W5Pa9MKWHhknBENu
chocolate herringbone wall,,15,softwood,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4805,brown,RoomTexWallHerringbone01,525,313,TvTxY9NBsDvQfXAJH
clackercart,,2,hardwood,6,softwood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,80,brown,FtrKatakatatoy,402,164,EqWJqEqcpki2TCTXS
classic pitcher,,4,clay,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers; Tom Nook,Obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Miscellaneous,4073,brick,FtrPotteryjug,702,192,jtdnvzuzyxYDa6xov
classic-library wall,,10,book,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4837,yellow,RoomTexWallLibrary00,2103,317,tWZXois4WZ3ztMwv6
clothesline,,10,tree branch,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,3229,brown,FtrClothesline,203,457,kQm8o92yBJJPNpM2o
coconut juice,,1,coconut,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,3684,green,FtrCoconutjuice,1800,163,43ztxc7D5XHDmAMXA
coconut wall planter,,1,coconut,5,clump of weeds,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4130,green,FtrPlanterPalm,1830,405,tw8LKPHQrkMZwgAua
colored-leaves flooring,,10,maple leaf,15,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Floors,4990,brown,RoomTexFloorAutumun00,4660,476,ENEvnncek9KfcwS9G
cool hyacinth crown,,4,blue hyacinths,2,pink hyacinths,2,orange hyacinths,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5097,green,CapOrnamentHyacinth2,8221,238,zRzWiZwk8nTjaPxy7
cool hyacinth wreath,,3,orange hyacinths,3,blue hyacinths,3,pink hyacinths,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5750,green,FtrDoorOrnamentWreathHyacinthMix,7861,453,HaC5frhoXCDpy5YYj
cool pansy crown,,3,orange pansies,3,blue pansies,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5106,green,CapOrnamentPansy2,8218,247,HH3M3xNAeCLsHTZRj
cool pansy wreath,,10,purple pansies,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5767,green,FtrDoorOrnamentWreathPansyRare,7859,450,RxiJe64ebSZy3dsHg
cool windflower crown,,3,blue windflowers,3,pink windflowers,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5100,green,CapOrnamentAnemone2,8201,241,8KsLNr5dskMACBgmg
cool windflower wreath,,3,blue windflowers,3,pink windflowers,3,white windflowers,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5746,green,FtrDoorOrnamentWreathAnemoneMix,7841,441,Aer6cEdrENAWFD4TP
corral fence,,6,wood,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4349,brown,ItemFenceHorizontalWood,580,269,MRhMdwsDKNuaDfi8s
cosmos crown,,2,red cosmos,2,yellow cosmos,3,white cosmos,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,0,Equipment,5108,green,CapOrnamentCosmos1,8206,249,RBhKgvizEg6uocZvQ
cosmos shower,,5,pink cosmos,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,7230,green,FtrFlowerShower,7802,501,WqnkcGJydxs7ueTdr
cosmos wand,,1,white cosmos,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,5092,green,ToolStickCosmos,8272,528,qw6sc7YjNoXFjQt7J
cosmos wreath,,3,yellow cosmos,3,white cosmos,3,red cosmos,,,,,,,NFS,200,NA,NA,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is cosmos,NA,NA,1.0.0,Yes,50,Wall-mounted,4293,green,FtrDoorOrnamentWreathCosmos,7846,227,KwujCjwLcpr42PGb3
country fence,,6,hardwood,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4350,brown,ItemFenceLog,583,268,Wy3TCH3APTHJrpDhg
crescent-moon chair,,7,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,6829,silver,FtrStarMoonChairL,2201,432,3FcpSCLM9gcJrNhMu
crest doorplate,,4,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,5717,dark gray,FtrDoorOrnamentCrest,941,469,rBCZK2XaMKZ4jXrNH
crewed spaceship,,10,star fragment,20,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,5676,silver,FtrSpacecraft,2224,434,2SBnbqnymBq9DczP6
cute lily crown,,2,pink lilies,2,orange lilies,2,white lilies,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5115,green,CapOrnamentYuri2,8224,256,WNR9mPLvre4qtfrnQ
cute rose crown,,3,pink roses,3,orange roses,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5112,green,CapOrnamentRose2,8213,253,GqacSkmPu6G4u43tR
cutting board,,2,hardwood,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,3618,brown,FtrCuttingboard,465,284,ebxdGKznZzRDMMccg
dark bamboo rug,,6,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Rugs,11114,green,RugRectBambooM01,2470,672,4FRs7iQAhxjseeyWP
dark cosmos crown,,7,black cosmos,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5110,green,CapOrnamentCosmos3,8208,251,yoXYwWGZ7xpNi9P4W
dark lily crown,,6,black lilies,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5116,green,CapOrnamentYuri3,8225,257,Fr3oaQMDbkQ9N9i8t
dark lily wreath,,10,black lilies,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5770,green,FtrDoorOrnamentWreathYuriRare,7865,454,ExWh3urifQgJTCCH3
dark rose wreath,,3,black roses,6,purple roses,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5766,green,FtrDoorOrnamentWreathRoseRare,7854,446,utyr7MwFDwd8syFcW
dark tulip crown,,5,black tulips,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5104,green,CapOrnamentTulip3,8211,245,xJjpphgWJpHubYFET
dark tulip wreath,,10,black tulips,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5771,green,FtrDoorOrnamentWreathTulipRare,7851,362,oCnpF6D3PyAJ5kGz8
dark wooden-mosaic wall,,15,wood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4860,brown,RoomTexWallMixPlankWood01,522,311,sEZQCkucygfgPphNu
decoy duck,,4,softwood,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,1797,brown,FtrDecoy,466,390,Rb8PSLPkNwP7hCk8G
deer decoration,,8,softwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3340,brown,FtrHuntingtrophy,482,378,BTF82ckDtSkknQmua
deer scare,,3,bamboo piece,8,stone,3,clump of weeds,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,677,green,FtrShishiodoshi,2408,359,Tdhp7ADcciKJj7y3H
destinations signpost,,4,hardwood,8,softwood,,,,,,,,,NFS,200,1500,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,4309,brown,FtrSignpostWorld,441,383,39ryJtTNCrokaosYW
DIY workbench,,5,wood,5,hardwood,5,softwood,3,iron nugget,1,mini DIY workbench,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Housewares,1241,brown,FtrWorkbench,302,263,sjr8rh3ZujiLscc3C
document stack,,1,scattered papers,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,1750,yellow,FtrOfficePapers,2120,462,rLvnyoEj48NFgsNpX
doghouse,,10,wood,7,hardwood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,1799,brown,FtrDoghouse,430,14,vMF3FP2steT4gaJ9u
drinking fountain,,8,stone,2,iron nugget,,,,,,,,,NFS,200,800,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,2319,light gray,FtrDrinkingfountain,803,77,tsTxksskAQtbvJMWB
earth-egg outfit,,3,earth egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting earth eggs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12449,yellow,TopsTexOnepieceRibNEggground0,8661,674,7Mt6bHNy79mjNGipa
earth-egg shell,,2,earth egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting earth eggs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12439,yellow,CapHatEggground0,8660,673,C9wvFR7fBGccZDyWa
earth-egg shoes,,2,earth egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting earth eggs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12455,yellow,ShoesLowcutEggground0,8662,675,usLoxmkjFnPhxs9nr
egg party dress,,3,earth egg,3,stone egg,3,leaf egg,3,wood egg,3,sky egg,3,water egg,NFS,NA,NA,NA,Learning all egg outfit DIYs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12448,yellow,TopsTexOnepieceBalloonLEgg0,8679,692,zNdwTbYA7G3MRrqkE
egg party hat,,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,NA,NA,NA,Learning all egg outfit DIYs,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12446,yellow,CapHatEggparty0,8678,691,SCBtDqCaR7QLCprjw
falling-snow wall,,3,snowflake,10,stone,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,1.6.0,Yes,0,Wallpaper,13603,blue,RoomSpWallSnowy00,7053,752,3Qhzt3AsgTfjoQ98s
fancy lily wreath,,3,orange lilies,3,pink lilies,3,yellow lilies,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5677,green,FtrDoorOrnamentWreathYuriMix,7864,455,yj4Z2oGDi6Thvm89d
fancy mum wreath,,3,pink mums,3,purple mums,3,red mums,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5749,green,FtrDoorOrnamentWreathMumMix,7844,443,qW3wgimoN7XhG5BvD
fancy rose wreath,,3,orange roses,3,pink roses,3,yellow roses,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5747,green,FtrDoorOrnamentWreathRoseMix,7853,448,vr9dDrXLQuDSwfDdy
festive rug,,5,red ornament,5,blue ornament,5,gold ornament,,,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.6.0,Yes,0,Rugs,7544,white,RugSquareChristmasL00,7470,746,MQuYCrEgrAwCpcByz
festive top set,,2,gold ornament,1,hardwood,,,,,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Miscellaneous,12230,white,FtrFestivaltop,7400,650,tyq7gwEQhneN7ret4
festive tree,,3,red ornament,3,blue ornament,2,gold ornament,5,wood,,,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3991,white,FtrTreeXmasS,7403,274,vtwGE69N2Z3GppKwx
festive wrapping paper,,1,red ornament,1,blue ornament,1,gold ornament,,,,,,,NFS,200,NA,NA,Jingle,,Toy Day,Yes,1.6.0,Yes,0,Other,13792,white,WPaperOrnament,7490,751,NLbsc7TY99g5MZR6t
firewood,,8,wood,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,5970,brown,FtrFirewood,467,402,yDibbjkFgmEuJtdS6
fish bait,,1,manila clam,,,,,,,,,,,NFS,NA,NA,NA,Digging up clams,,NA,NA,1.0.0,Yes,0,Other,4549,white,FishBait,131,191,XSQzMk4R5tzbPbToi
fishing rod,,1,flimsy fishing rod,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,NA,NA,1.0.0,Yes,0,Tools,2377,beige,ToolAngling,106,282,FeccEGBoFMHyMM75Q
flat garden rock,,20,stone,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,12206,light gray,FtrGardenrockLow,806,646,JFxaTW3m9gD8zWTyQ
flimsy axe,,5,tree branch,1,stone,,,,,,,,,280,200,NA,NA,Tom Nook; Nook's Cranny,Obtained through Tom Nook's DIY Workshop at the beginning of the game and can also be purchased at Nook's Cranny,NA,NA,1.0.0,Yes,0,Tools,3068,beige,ToolAxeStone,100,10,6WFHd6r74ZDND9eCx
flimsy fishing rod,,5,tree branch,,,,,,,,,,,280,200,NA,NA,Tom Nook,Obtained through Tom Nook's DIY Workshop at the beginning of the game,NA,NA,1.0.0,Yes,0,Tools,3084,beige,ToolFishingrodWood,105,21,9JboJHudaWqqbQxbZ
flimsy net,,5,tree branch,,,,,,,,,,,280,200,NA,NA,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,NA,NA,1.0.0,Yes,0,Tools,2376,beige,ToolNet,107,22,jF9AD5TZekwWomWwJ
flimsy shovel,,5,hardwood,,,,,,,,,,,280,200,NA,NA,Blathers; Nook's Cranny,,NA,NA,1.0.0,Yes,0,Tools,3082,beige,ToolShovelWood,103,19,bPp3TpiueJDRte9wT
flimsy watering can,,5,softwood,,,,,,,,,,,280,200,NA,NA,Tom Nook; Nook's Cranny,,NA,NA,1.0.0,Yes,0,Tools,3083,beige,ToolWateringWood,109,20,FnnhLbn7KQdg2Xqey
floral swag,,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4027,green,FtrFlowerSwag,1230,121,d2brTtEXPaFRfbcFh
flower stand,,1,red roses,2,pink roses,2,orange roses,2,white lilies,1,yellow lilies,4,purple windflowers,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Housewares,7527,green,FtrStandflower,7808,608,faN686NpjrFkDricn
flying saucer,,15,star fragment,10,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1447,silver,FtrUFO,2227,233,JDCn8zkKX2JwHBxBh
forest flooring,,1,rare mushroom,2,round mushroom,2,skinny mushroom,2,flat mushroom,10,clump of weeds,,,NFS,200,NA,NA,Balloons,,mushrooms,Yes,1.0.0,Yes,0,Floors,7186,orange,RoomTexFloorMushForest00,5460,488,Qb6n9omuBxypP7aje
forest wall,,2,elegant mushroom,2,round mushroom,2,skinny mushroom,2,flat mushroom,10,wood,,,NFS,200,NA,NA,Balloons,,mushrooms,Yes,1.0.0,Yes,0,Wallpaper,7187,orange,RoomTexWallMushForest00,5450,484,dtfYZqMNT9jsPDwTj
fossil doorplate,,1,fossil,2,stone,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,5719,light gray,FtrDoorOrnamentFossil,840,464,eig2yBncaDeGLkfKP
fountain,,1,drinking fountain,20,stone,8,iron nugget,,,,,,,NFS,200,3000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,8031,light gray,FtrFountain,804,599,LWAeuHiDEv25pHRQx
frozen arch,,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3499,blue,FtrIceGate,6606,140,FqCNQ69DMLvgxruE9
frozen bed,,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3502,blue,FtrIceBedW,6604,149,zBcsrLsdydLH3xHNE
frozen chair,,1,large snowflake,3,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3503,blue,FtrIceChairS,6601,142,jJq4Bjw6SaE7S8mnT
frozen counter,,1,large snowflake,5,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3505,blue,FtrIceCounter,6602,143,p76DgzdnhT9SCNipu
frozen partition,,1,large snowflake,6,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3498,blue,FtrIceScreen,6605,147,8MAAQxYSHaQBQ6A2t
frozen pillar,,1,large snowflake,3,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3500,blue,FtrIcePillar,6607,148,NLsTNAekFvRenddKs
frozen sculpture,,1,large snowflake,4,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3501,blue,FtrIceArt,6608,141,GGrDCvwPHpbzRnhzi
frozen table,,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3497,blue,FtrIceTableL,6603,146,ERiC3P6oPfo8EgJcb
frozen tree,,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3504,blue,FtrIceTree,6609,145,CiiuZA9ZJhtjTrD8C
frozen-treat set,,1,large snowflake,1,snowflake,,,,,,,,,NFS,200,NA,NA,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Miscellaneous,4279,blue,FtrIceCandy,6600,194,ygrBuPoB8ZKRjnXXD
fruit basket,,1,apple,1,pear,1,cherry,1,orange,1,peach,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,975,white,FtrFruitbasket,1900,56,sAtJ8kdcam2FX5MJb
fruit wreath,,2,apple,1,pear,3,cherry,3,orange,1,peach,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,4378,white,FtrDoorOrnamentWreathFruit,1940,223,FPCNEvg2aBDZZkjxu
frying pan,,2,iron nugget,,,,,,,,,,,NFS,200,NA,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,NA,NA,1.0.0,Yes,0,Miscellaneous,4104,dark gray,FtrPan,908,199,bgMKMNGmxjKPXaDNp
galaxy flooring,,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Floors,5269,silver,RoomSpFloorGalaxy00,2260,482,e3XyJ7j4bQYXSRDBW
garbage-heap flooring,,2,empty can,2,boot,2,old tire,,,,,,,NFS,NA,NA,NA,Fishing,Fish up 15 trash,NA,NA,1.0.0,Yes,0,Floors,5236,dark gray,RoomTexFloorGarbage00,660,486,Ksn3xwxp4aqcty4Z6
garbage-heap wall,,2,empty can,2,boot,2,old tire,,,,,,,NFS,NA,NA,NA,Fishing,Fish up 15 trash,NA,NA,1.0.0,Yes,0,Wallpaper,5229,dark gray,RoomTexWallGarbage00,650,301,pmFETBqn6JQFmXnA3
garden bench,,12,wood,4,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,3509,blue,FtrParkbenche,1009,124,AToP4B59FCDjcpbHj
garden rock,,15,stone,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,729,light gray,FtrGardenrock,805,48,gH69947Ybie3us6SB
garden wagon,,3,white hyacinths,3,red cosmos,3,yellow roses,8,wood,2,iron nugget,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,8419,brown,FtrGardenwagon,436,571,4g5iFxN9TFG7KwndZ
Gemini closet,,3,star fragment,2,Gemini fragment,2,gold nugget,6,stone,,,,,NFS,200,NA,NA,Celeste,,Gemini,Yes,1.0.0,Yes,0,Housewares,5960,silver,FtrZodiacGemini,2302,377,jD3cfJDgrgBozKYnz
giant teddy bear,,1,Papa bear,1,Mama bear,1,Baby bear,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Housewares,1504,yellow,FtrBearXL,2160,577,jPYidbBoH7RNB4jRQ
gift pile,,3,red wrapping paper,1,wooden-block toy,1,cardboard box,,,,,,,NFS,200,NA,NA,Jingle,Reward from Jingle after delivering more than half the gifts on Toy Day,Toy Day,Yes,1.6.0,Yes,0,Housewares,13244,white,FtrCrsPresents,7411,750,w5mSW9qzTeyEypXTh
gold armor,,8,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Equipment,4590,gold,TopsTexOnepieceOverallLPlatearmorGold,1181,566,9ThvdcF6fyMHcpzx2
gold bars,,3,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,3065,gold,FtrGoldbar,1100,81,3DtQMaiAHW8XDdX4c
gold helmet,,5,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,200,Equipment,5346,gold,CapFullfaceKnightGold,1180,644,ihpryTYADPJmMyH3G
gold rose crown,,6,gold roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,7378,green,CapOrnamentRose5,8216,460,RAj5rwhgZgfNLzsTh
gold rose wreath,,10,gold roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5820,green,FtrDoorOrnamentWreathRoseGold,7856,449,fYHqu9bGpt2ivTWRt
gold-armor shoes,,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,200,Equipment,5524,gold,ShoesKneeKnightGold,1182,643,4nY6xoTSqFMjzsTLp
gold-screen wall,,2,gold nugget,1,screen wall,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4820,gold,RoomTexWallFusumaGorgeous00,1151,298,oCeLPYajbm2MHZyGn
golden arowana model,,3,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,11260,gold,FtrFishArowanaGold,1132,602,TG3z4Bf2ju3Wo5tRK
golden axe,,1,axe,1,gold nugget,,,,,,,,,NFS,NA,NA,NA,Breaking 100 axes,,NA,NA,1.0.0,Yes,0,Tools,9617,gold,ToolAxeGold,112,663,M67DJhFjbWusf3xXk
golden candlestick,,2,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,3772,gold,FtrGoldCandlestand,1102,130,F78p9Pkj6X2TRfpDT
golden casket,,8,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,200,Housewares,8825,gold,FtrGoldCoffin,1105,569,erQLwMgyX6NwbpNmG
golden dishes,,1,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,3810,gold,FtrGoldDishes,1101,131,NX2ZZ8qZnEqqWtSGH
golden dung beetle,,3,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,5941,gold,FtrInsectKabutomushiGold,1131,601,XhKhDoMTgc8eAoJna
golden flooring,,4,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Floors,5021,gold,RoomTexFloorGold00,1160,475,Xju8kS2TB7B9EXbDG
golden gears,,1,gold nugget,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,11261,gold,FtrGearWallGold,1130,595,5JDaCQoYazbP4QkGN
golden net,,1,net,1,gold nugget,,,,,,,,,NFS,200,NA,NA,Completing bug Critterpedia,,NA,NA,1.0.0,Yes,0,Tools,8179,gold,ToolNetGold,115,658,cnQ4qLNgFDK7F4NQJ
golden rod,,1,fishing rod,1,gold nugget,,,,,,,,,NFS,200,NA,NA,Completing fish Critterpedia,,NA,NA,1.0.0,Yes,0,Tools,8660,gold,ToolFishingrodGold,114,662,FTWgTtoCgm3jNGhM4
golden seat,,5,gold nugget,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,200,Housewares,3473,gold,FtrGoldbench,1103,133,EgGa9re6PRbpcCESz
golden shovel,,1,shovel,1,gold nugget,,,,,,,,,NFS,200,NA,NA,Helping Gulliver 30 times,,NA,NA,1.0.0,Yes,0,Tools,8574,gold,ToolScoopGold,113,660,aEtPEYkwgj9BJ48Et
golden slingshot,,1,slingshot,1,gold nugget,,,,,,,,,NFS,200,NA,NA,Gold balloon,Balloon appears after shooting 300 balloons,NA,NA,1.0.0,Yes,0,Tools,8578,gold,ToolSlingshotGold,117,661,W7WY5fpjB4Lc36YYs
